creature_name,visual_elements,color_primary,color_secondary,texture,size_reference,symbolic_meaning,depiction_tradition,depiction_challenges,exemplar_description,prompt_keywords,source_fragments
Wharvers,"globed lizard body; fin array; leathery sack form; heavy glinting hooks (scales); hot belly",#8B4513,#92400E,"leathery scaled, metallic highlights",medium - forearm to torso,danger lurking beneath; hidden threat,Geometric School,"subterranean nature limits observation; emerges irregularly; retreats before approach","Leathery sack body rendered in Quarry Rust (#8B4513) with heavy hook-scales showing metallic rust patina (#92400E). Globed central form with fin extensions. Heat indicated by warm undertones at belly.","leathery sack, glinting hooks, fin array, rust patina, subterranean creature","dens ore.txt; HV-001"
Grimslew,"fifty fins; twin tails; leathery sack body; membranous fin extensions with visible veining; metal-like hook protrusions",#030712,#2A2A2A,"leathery with membranous fins",very large - dangerous predator,ultimate danger; the dreaded,Geometric School,"no specimen possible; observation from distance only; too dangerous; extreme aquatic depth","Body as leathery sack, darker at center (#2A2A2A), lighter at edges (#4A4A4A). Fifty fins as membranous extensions with visible veining. Twin tail configuration. Hooks rendered as metal-like protrusions with rust patina.","fifty fins, twin tails, dreaded fish, leathery sack, membranous, metal hooks","HV-021; grimslew island references"
Stonefrogs,"sessile stone-like form; camouflage coloring; filter-feeding apparatus",#52525B,#6B7280,"stone-like camouflage",small - fits in palm,patience; concealment; stillness,Geometric School,"stone-like camouflage makes observation difficult; sessile for extended periods then sudden bursts","Stone-gray body (#52525B) with perfect camouflage quality. Rendered as if carved from pool stone. Filter apparatus visible at mouth when active.","stone camouflage, sessile, pool dweller, Dens edge","HV-002"
Gritsmucks,"collective swarm form; loose aggregation; light-avoiding",#57534E,#44403C,"organic gritty, swarm-like",tiny - abundant swarm,decay; collective; ubiquity,Organic School,"collective movement in loose swarms; individual members tiny; avoids direct light","Rendered as swarm aggregation in muddy brown (#57534E). Individual forms barely distinguishable. Movement suggested through swarm dynamics. Light avoidance shown through shadowed placement.","swarm, detritivore, Dens surface, collective, densash consumer","HV-003"
Rock-finned Eel,"burrowing body; mineralized rock-like fins; aquatic predator form",#64748B,#374151,"mineral-flecked scales, rock-like fins",medium-large - dangerous length,depths; mineral-organic hybrid,Geometric School,"deep habitat limits observation; single specimen only; rock-like fin structure unique","Elongated body with distinctive rock-like fins (#64748B) showing mineral flecks. Cool gray with blue undertones. Predator form with visible hunting posture.","rock fins, aquatic predator, mineral hybrid, deep habitat, Dens pools","HV-004"
Gutzler,"scavenging form; nocturnal adaptation; urban peripheral habitat",#6B7280,#78716C,"varied organic, scavenger-typical",small-medium - dog-sized,opportunism; urban fringe; survival,Organic School,"nocturnal primarily; scavenges near settlements; well-documented","Scavenger form in neutral grays (#6B7280). Urban adaptation visible in build. Tucker of Capital provided specimen location. Well-suited for peripheral habitat depiction.","scavenger, nocturnal, Capital outskirts, urban peripheral, omnivore","HV-005"
Greybeakeel,"pool-dwelling form; filter-feeding adaptation; rarely surfaces",#CBD5E1,#9CA3AF,"cool silver scales",medium - kept in pools,hidden depths; controlled observation,Cartographic Guild Practice,"rarely surfaces; kept in pools by local crews; no wild specimen","Cool silver body (#CBD5E1) adapted for pool dwelling. Filter structures visible. Depicted in pool environment as controlled by edge crews.","pool dweller, silver scales, filter feeder, Dens edge, controlled","HV-006"
Hogfoots,"grazing posture; slow movement; gregarious herd form",#D4B896,#A8A29E,"soft domesticated hide",large - livestock size,domesticity; edge settlement life,Yeller Quarry Field,"domesticated by edge settlements; wild populations unconfirmed; grazing behavior","Large grazing form in natural tan (#D4B896). Gregarious herd depicted. Edge settlement pastoral scene. Soft hide texture suggests domestication.","grazing, domesticated, edge settlements, slow-moving, herd","HV-007"
Toadpipes,"pipe-like vocal apparatus; burrowing adaptation; dusk activity",#65A30D,#276749,"organic moist amphibian",small - easily captured,twilight; vocal communication; emergence,Organic School,"vocal at dusk; burrowing during day; specimens readily captured; distinctive calls","Small amphibian form with distinctive pipe-like vocal structures. Bright organic green (#65A30D) from bile pigment. Depicted at dusk emergence from burrow.","pipe calls, dusk vocal, burrowing, insectivore, Dens edge","HV-008"
Densfowl,"flocking form; roosts in scattered trees; omnivore build",#44403C,#57534E,"feathered common bird",small - common bird,ubiquity; scattered presence; common,Multiple traditions,"common; multiple specimens across years; flocking behavior well-documented","Common bird form in dark bark brown (#44403C). Flocking depicted with scattered tree roosts. Interior Dens setting. Multiple individuals for flock representation.","common fowl, flocking, roosts, Dens interior, omnivore","HV-009"
Barkbound Creatures,"rapid scurrying form; adheres to muck crust; bark-like appearance",#44403C,#292524,"chitinous bark-like shell",tiny - surface dwellers,surface activity; rapid response; detritus,Organic School,"surface-dwelling; easy to capture when muck crust stable; rapid scurrying","Tiny creatures with bark-like chitinous covering (#44403C). Depicted adhering to muck crust surface. Rapid scurrying motion suggested. Multiple specimens in colony arrangement.","bark-like, rapid, surface, chitinous, detritivore, muck crust","HV-010"
Shifties,"shifting indeterminate form; difficult tracking; brambly aspect",#A1A1AA,#6B7280,"uncertain shifting quality",small - difficult to observe,uncertainty; unpredictability; defiance of observation,Organic School,"movement pattern defies prediction; no specimen captured; shifting movement","Rendered with intentionally uncertain edges in shifting gray (#A1A1AA). Brambly form suggested but not defined. Movement pattern impossible to pin down. Depicted as visual uncertainty.","shifting, brambly, unpredictable, no specimen, movement defies","HV-011"
Granite Wren,"basalt-like coloring; nearly invisible wing movement; tunnel habitat",#374151,#4B5563,"stone-colored feathers",tiny - wren size,subtlety; near-invisibility; tunnel dwelling,Geometric School,"wings flap unnoticeably; inhabits tunnel air currents; rare captures at tunnel mouths; breathes tunneled air","Small bird form in basalt gray (#374151). Wings depicted in subtle motion that appears still. Tunnel entrance environment. Stone-colored to near-invisibility.","basalt wren, tunnel dweller, subtle wings, stone-colored, rare","HV-012"
Ellichs,"hibernating carrier form; block transport adaptation; dormant periods",#166534,#276749,"carrier shell structure",large - transport sized,dormancy; carrying; cycles,Yeller Quarry Field,"report from Capeast expedition; no direct observation by compiler; possibly photosynthetic during dormancy","Large carrier form in deep forest green (#166534). Dormant posture with block transport adaptation visible. Capeast hills environment. Hibernating state depicted.","hibernating, carrier, Capeast, block transport, dormancy, photosynthetic","HV-013; Capeast expedition"
Wood Turtle,"ligneous woody shell; wood grain texture; slow deliberate movement",#78716C,#57534E,"woody shell texture",medium - basket size,fuel; sacrifice; slow transformation,Yeller Quarry Field,"woody texture; burns as fuel; single specimen preserved","Shell rendered with visible wood grain (#78716C). Ligneous structure clearly shown. Slow movement posture. Single preserved specimen quality. Quarry eastern edge environment.","ligneous, wood shell, fuel source, slow-moving, Quarry","HV-014"
Seven-Foot Bird,"massive predatory form; black leather quality; territorial stance",#0F172A,#1E293B,"deep black leather feathers",very large - seven feet tall,danger; territorial dominance; material value,Cartographer's Guild,"no specimen - too dangerous; leather used for garments; Polks' overalls made from one","Massive bird form in absolute black leather (#0F172A). Seven-foot height emphasized. Territorial aggressive posture. Danger indicated through stance and scale. No specimen available - observation-based rendering.","seven foot, black leather, predator, territorial, dangerous, Polks overalls","HV-015"
Stakdur,"aggressive predatory form; high activity cycles; extreme danger",#F97316,#EA580C,"warning coloration",large - apex predator,extreme danger; apex threat; territory marker,Geometric School,"too dangerous for specimen collection; expedition reports only; extreme conditions","High-visibility warning form in bright orange (#F97316). Aggressive predatory posture. Sector NE-4 environment. Danger absolutely emphasized. Based on expedition reports only.","aggressive, apex predator, extreme danger, warning, NE-4 sector","HV-016; creature_survey.csv"
Knocker-bugs,"aureate gold body; red spot pattern; tracking behavior",#CA8A04,#B91C1C,"iridescent gold with red spots",tiny - tracking tool,tracking; guidance; golden utility,Multiple traditions,"used for tracking by locals; abundant specimens; gold with red spots","Small aureate form in rich gold (#CA8A04) with distinctive red spot pattern (#B91C1C). Tracking posture depicted. Multiple specimens shown as tracking swarm. Quarry settlement environment.","aureate, gold, red spots, tracking, Quarry settlements, abundant","HV-017"
Mold-man,"humanoid movement; unclear nature; transformed appearance",#6B7280,#52525B,"uncertain organic-human hybrid",human-sized - standing,transformation; boundary between creature and person,Organic School,"unconfirmed; may represent transformed humans rather than distinct species; classification uncertain","Humanoid form with mold-like organic covering in uncertain gray (#6B7280). Boundary between human and creature deliberately unclear. Northo region environment. Transformation suggested.","humanoid, transformed, mold-like, Northo, uncertain classification","HV-018"
Crow-man,"avian-humanoid hybrid; crow characteristics; predatory aspect",#1E293B,#0F172A,"feathered humanoid hybrid",human-sized - standing,hybrid nature; predation; dark messenger,Organic School,"unconfirmed; classification uncertain - creature or hybrid; carnivore suspected","Humanoid form with crow features in dark feather black (#1E293B). Avian characteristics clearly shown. Predatory aspect emphasized. Northo region. Hybrid classification uncertainty depicted.","avian hybrid, crow features, humanoid, Northo, predator","HV-019"
Muckwalker,"efficient muck traversal; possible profession or creature",#6B7280,#78716C,"adapted muck-walking form",human-sized - ambulatory,adaptation; profession vs nature; muck mastery,Yeller Quarry Field,"term may describe profession rather than species; requires field verification; traverses muck efficiently","Ambiguous form showing efficient muck traversal in practical gray (#6B7280). Could be profession or creature - ambiguity preserved. Muck environment. Adaptation emphasized.","muck traversal, ambiguous, profession, adapted, Northo","HV-020"
Yeller,"five-in-one manifestation; prime number voice patterns; hydra-like; covered in densash",#D1D5DB,#A1A1AA,"densash-covered pale gray",five human-sized bodies,plurality; mystery; prime numbers; torture survival,Kelleth Trove Specification,"unique entity; classification disputed - creature or persons; five perspectives needed; psychological risk to observer","Five connected forms covered in densash pale gray (#D1D5DB). Prime number voice patterns (2,3,5,7,11) suggested through grouped elements. Fivefold manifestation. Covered in ash. Observer notation required.","fivefold, plural being, densash covered, prime numbers, hydra-like, The Five","HV-023; grigsu-notebooks"
Boneback,"grazing herd animal; calving patterns; stress indicators",#A8A29E,#D4B896,"domesticated hide quality",large - herd livestock,pastoral stability; stress indicator; refugee,Multiple traditions,"grazing behavior well-documented; shows stress near boundaries; refugee displacement patterns","Large grazing form in natural gray-tan (#A8A29E). Herd arrangement. Stress indicators visible in posture when near boundaries. Pastoral scene. Survey documentation style.","grazing, herd, stress indicator, boundary sensitive, refugee","creature_survey.csv"
Cave Bat,"roosting form; colony dwelling; Eastern Sector habitat",#1E293B,#374151,"dark membranous wings",small-medium - colony member,colony; underground; stable population,Organic School,"large colony documented; fall activity peak; colony maintained through collapse","Dark winged form (#1E293B) in roosting posture. Colony arrangement depicted. Eastern Sector cave environment. Stable population through crisis shown.","roosting, colony, Eastern caves, stable, membranous","creature_survey.csv"
Tunnel Worm,"burrowing form; indirect evidence; subterranean activity",#451A03,#57534E,"organic tunnel-dwelling",unknown - signs only,hidden activity; indirect evidence; uncertainty,Geometric School,"indirect observation via burrow signs; reduced activity before collapse; absence telling","Depicted through burrow signs rather than direct form. Organic brown (#451A03) suggested. Tunnel environment. Activity patterns shown through environmental evidence rather than creature.","burrowing, indirect observation, burrow signs, subterranean","creature_survey.csv"
Migratory Bird,"seasonal flocking; migration patterns; population indicators",#A3E635,#65A30D,"spring migratory plumage",flock estimate - 200 count,seasonal cycles; environmental health; delay warning,Organic School,"seasonal migration well-documented; late migration indicates problems; reduced counts signal decline","Flock formation in spring green (#A3E635). Migration pattern depicted through directional arrangement. Northern Sector seasonal scene. Population health indicator.","migratory, seasonal, flock, spring, population indicator","creature_survey.csv"
Maw Beast,"aggressive expansion; dangerous territory; post-collapse dominance",#7F1D1D,#B91C1C,"predatory threatening",large - territorial predator,expansion threat; post-collapse dominance; danger zone,Cartographer's Guild,"dangerous proximity required for observation; territory expansion documented; remote observation only","Dark blood crimson form (#7F1D1D) in aggressive territorial posture. SW Sector boundary environment. Expansion behavior shown. Dominance after ecosystem collapse depicted. Remote observation notation.","aggressive, territorial, expansion, SW boundary, dangerous, dominance","creature_survey.csv"
Wharver Scale Creature,"scaled form yielding rust pigment; hot-bodied; hooks",#92400E,#B45309,"scaled with rust patina",medium - processed for pigment,material source; craft value; danger,Yeller Quarry Field,"wharvers covered with iron; scales processed for pigment; hot belly dangerous","Scaled form yielding distinctive rust (#92400E) pigment from scales. Hot-bodied shown through warm color undertones. Iron-covered quality. Pigment source depiction.","wharver, scales, rust pigment, iron covered, hot belly","dens ore.txt; material source"
Wing Dust Creature (CR024),"dust-producing wings; iridescent quality; cosmetic source",#A78BFA,#C4B5FD,"iridescent wing dust",unspecified - known by product,beauty; cosmetic value; iridescence,Capital Archive Style,"sold for cosmetics trade; iridescent powder production; creature form less important than product","Form secondary to iridescent wing dust (#A78BFA) production. Pale violet with rainbow quality. Cosmetics trade context. Capital beauty product source.","wing dust, iridescent, cosmetics, Capital trade, CR024","expedition_equipment; prices.csv"
Familiars,"post-mortem companion form; witch-associated; supernatural",#4338CA,#6366F1,"supernatural undefined",variable - supernatural,supernatural bond; death; witch association,Kelleth Trove Specification,"form of living thing follows witch after death; not suitable for taxonomic classification; supernatural category","Deliberately undefined supernatural form in deep indigo (#4338CA). Post-mortem companion quality. Witch association suggested. Form variable and resistant to classification.","familiar, witch, supernatural, post-mortem, variable form","HV-022; quarry folklore"
