comparison_id,entity_a_type,entity_a_id,entity_a_scale,entity_a_temporal_days,entity_a_social,entity_b_type,entity_b_id,entity_b_scale,entity_b_temporal_days,entity_b_social,temporal_ratio,social_ratio,scale_difference,scale_temporal_correlation,anomaly_detected,anomaly_type,supports_strand_hierarchy,supports_anster_tame,comparison_year,same_location,same_time_measurement,comparison_purpose,documenter,confidence,notes
TD-0001,creature,,individual,673.093,183,civilization_fragment,B-128,civilization,58316.499,298984,0.0115,0.0006,-4,True,False,,True,True,931,False,False,hierarchy_validation,C. Vells,0.51,
TD-0002,small_group,,small_group,11635.179,44,small_group,,small_group,11225.217,29,1.0365,1.5172,0,True,False,,True,True,927,False,True,systematic_survey,P. Anster,0.83,
TD-0003,cell_colony,,cellular,0.13,0,cell_colony,B-858,cellular,0.06,0,2.1684,,0,True,False,,True,True,928,False,False,theoretical_test,M. Strand,0.94,
TD-0004,large_collective,A-639,large_collective,19042.202,9946,small_group,B-505,small_group,9393.292,55,2.0272,180.8364,1,True,False,,True,True,923,False,True,anomaly_investigation,M. Strand,0.74,
TD-0005,institution,,institution,2948.51,50000,institution,,institution,52992.813,81083,0.0556,0.6167,0,True,False,,True,True,918,False,False,hierarchy_validation,P. Anster,0.81,
TD-0006,creature,,individual,2532.345,44,creature,,individual,3510.702,38,0.7213,1.1579,0,True,False,,True,True,937,False,True,hierarchy_validation,P. Anster,0.57,
TD-0007,creature,,organ,0.185,0,creature,B-775,individual,681.123,29,0.0003,0.0,-1,True,False,,True,True,931,True,True,hierarchy_validation,Archive Survey Team,0.56,
TD-0008,creature,,individual,72.742,135,person,,individual,1515.967,26,0.048,5.1923,0,True,False,,True,True,940,False,False,systematic_survey,P. Anster,0.92,
TD-0009,person,,individual,1317.898,192,person,,individual,2979.461,111,0.4423,1.7297,0,True,False,,True,True,929,False,False,hierarchy_validation,Archive Survey Team,0.6,
TD-0010,person,,individual,5363.425,240,civilization_fragment,,civilization,17345.882,2195982,0.3092,0.0001,-4,True,False,,True,True,925,True,True,systematic_survey,K. Strand,0.74,
TD-0011,large_collective,A-442,large_collective,6115.946,12594,small_group,B-877,small_group,4119.822,111,1.4845,113.4595,1,True,False,,True,True,926,True,True,anomaly_investigation,M. Strand,0.8,
TD-0012,cell_colony,,cellular,0.062,0,small_group,,small_group,9225.061,58,0.0,0.0,-3,True,False,,True,True,939,False,False,clinical_assessment,R. Voss,0.7,
TD-0013,small_group,A-453,small_group,1494.746,68,person,B-149,individual,1120.853,317,1.3336,0.2145,1,True,False,,True,True,925,False,False,theoretical_test,Boundary Commission,0.8,
TD-0014,institution,A-619,institution,24196.425,20016,institution,B-286,institution,7701.245,178780,3.1419,0.112,0,True,False,,True,True,925,False,True,clinical_assessment,M. Strand,0.91,
TD-0015,small_group,A-827,small_group,1637.929,23,cell_colony,,cellular,0.049,0,33301.3443,,3,True,False,,True,True,940,True,False,theoretical_test,Archive Survey Team,0.72,
TD-0016,person,,individual,1268.1,160,creature,,organ,0.354,0,3584.8077,,1,True,False,,True,True,926,False,False,systematic_survey,C. Vells,0.94,
TD-0017,creature,A-604,organ,0.691,0,large_collective,,large_collective,10041.743,11633,0.0001,0.0,-3,True,False,,True,True,918,False,True,anomaly_investigation,Independent Observer,0.54,
TD-0018,person,,individual,1898.461,320,person,B-148,individual,4934.947,122,0.3847,2.623,0,True,False,,True,True,925,False,False,theoretical_test,T. Vells,0.71,
TD-0019,creature,,organ,1.075,0,small_group,B-116,small_group,116.379,28,0.0092,0.0,-2,True,False,,True,True,927,False,False,hierarchy_validation,M. Strand,0.66,
TD-0020,institution,,institution,40804.837,67843,creature,,organ,0.976,0,41801.2518,,4,True,False,,True,True,939,True,False,clinical_assessment,R. Voss,0.92,
TD-0021,small_group,A-185,small_group,2444.13,71,creature,,individual,616.184,82,3.9666,0.8659,1,True,False,,True,True,919,False,False,anomaly_investigation,Independent Observer,0.54,
TD-0022,creature,,individual,2460.205,78,creature,,individual,1576.919,31,1.5601,2.5161,0,True,False,,True,True,937,True,True,theoretical_test,P. Anster,0.84,
TD-0023,creature,A-501,individual,501.402,42,creature,,organ,0.344,0,1455.5831,,1,True,False,,True,True,937,False,True,clinical_assessment,Independent Observer,0.8,
TD-0024,cell_colony,A-511,cellular,0.022,0,small_group,,small_group,2316.729,84,0.0,0.0,-3,True,False,,True,True,919,False,False,clinical_assessment,Boundary Commission,0.94,
TD-0025,creature,,individual,2210.903,67,small_group,B-818,small_group,5936.343,112,0.3724,0.5982,-1,True,False,,True,True,935,False,False,hierarchy_validation,C. Vells,0.87,
TD-0026,institution,,institution,8214.767,85605,institution,B-888,institution,24848.811,198645,0.3306,0.4309,0,True,False,,True,True,922,False,True,clinical_assessment,M. Strand,0.83,
TD-0027,institution,A-684,institution,32146.441,35332,cell_colony,B-615,cellular,0.113,0,284522.3607,,5,True,False,,True,True,923,True,False,clinical_assessment,K. Strand,0.6,
TD-0028,large_collective,,large_collective,5964.797,9068,cell_colony,B-450,cellular,0.073,0,81940.4453,,4,True,False,,True,True,921,False,True,clinical_assessment,P. Anster,0.62,
TD-0029,civilization_fragment,,civilization,49638.068,1135654,creature,,individual,3931.325,17,12.6263,66803.1765,4,True,False,,True,True,921,False,False,anomaly_investigation,Independent Observer,0.95,
TD-0030,large_collective,A-545,large_collective,13872.756,2728,cell_colony,,cellular,0.124,0,111457.4953,,4,True,False,,True,True,933,False,True,systematic_survey,Boundary Commission,0.72,
TD-0031,person,,individual,1893.405,11,person,B-769,individual,4656.117,13,0.4066,0.8462,0,True,False,,True,True,928,True,False,systematic_survey,P. Anster,0.83,
TD-0032,person,,individual,1389.227,107,small_group,B-669,small_group,1184.889,23,1.1725,4.6522,-1,False,False,,False,False,935,False,False,clinical_assessment,R. Voss,0.73,
TD-0033,civilization_fragment,,civilization,17209.286,1397362,small_group,B-602,small_group,469.435,61,36.6596,22907.5738,3,True,False,,True,True,938,False,True,theoretical_test,Archive Survey Team,0.85,
TD-0034,institution,A-402,institution,27363.654,273855,large_collective,,large_collective,1431.091,804,19.1208,340.6157,1,True,False,,True,True,937,False,True,systematic_survey,R. Voss,0.84,
TD-0035,institution,,institution,22613.356,126068,institution,,institution,16359.54,43106,1.3823,2.9246,0,True,False,,True,True,939,True,True,clinical_assessment,Klutch CC Counseling,0.87,
TD-0036,institution,A-143,institution,6144.541,69738,person,B-512,individual,84.948,92,72.3328,758.0217,3,True,False,,True,True,939,False,False,anomaly_investigation,M. Strand,0.74,
TD-0037,institution,A-860,institution,47437.046,3454,institution,,institution,8678.531,25605,5.466,0.1349,0,True,False,,True,True,932,True,True,systematic_survey,P. Anster,0.89,
TD-0038,creature,A-444,organ,0.298,0,creature,,organ,1.154,0,0.2584,,0,True,False,,True,True,919,True,False,systematic_survey,T. Vells,0.66,
TD-0039,cell_colony,,cellular,0.015,0,institution,B-599,institution,9978.177,166650,0.0,0.0,-5,True,False,,True,True,921,False,True,clinical_assessment,Independent Observer,0.7,
TD-0040,large_collective,,large_collective,11178.054,16493,institution,B-549,institution,13465.35,50117,0.8301,0.3291,-1,True,False,,True,True,918,True,True,anomaly_investigation,T. Vells,0.78,
TD-0041,small_group,,small_group,542.25,10,small_group,,small_group,2590.737,43,0.2093,0.2326,0,True,False,,True,True,937,False,False,systematic_survey,C. Vells,0.58,
TD-0042,person,,individual,1553.216,250,large_collective,,large_collective,2199.19,3105,0.7063,0.0805,-2,True,False,,True,True,939,False,False,anomaly_investigation,P. Anster,0.76,
TD-0043,institution,A-682,institution,38838.891,192578,creature,,organ,0.518,0,74926.2257,,4,True,False,,True,True,927,True,False,anomaly_investigation,K. Strand,0.73,
TD-0044,large_collective,A-802,large_collective,16871.937,16148,creature,B-185,individual,637.718,9,26.4567,1794.2222,2,True,False,,True,True,931,True,True,clinical_assessment,M. Strand,0.51,
TD-0045,small_group,,small_group,235.818,36,person,,individual,769.924,131,0.3063,0.2748,1,False,False,,False,False,920,False,True,systematic_survey,C. Vells,0.78,
TD-0046,large_collective,,large_collective,10084.634,20161,civilization_fragment,,civilization,42980.979,346174,0.2346,0.0582,-2,True,False,,True,True,920,False,False,hierarchy_validation,Boundary Commission,0.71,
TD-0047,institution,,institution,60486.598,91373,creature,B-565,organ,0.706,0,85646.8622,,4,True,False,,True,True,930,False,False,theoretical_test,Archive Survey Team,0.79,
TD-0048,creature,,individual,858.91,9,small_group,,small_group,5460.542,62,0.1573,0.1452,-1,True,False,,True,True,934,False,False,systematic_survey,Archive Survey Team,0.56,
TD-0049,large_collective,,large_collective,22128.721,10370,small_group,B-337,small_group,824.991,2,26.823,5185.0,1,True,False,,True,True,920,False,False,hierarchy_validation,Klutch CC Counseling,0.53,
TD-0050,small_group,,small_group,2048.109,95,person,,individual,5191.204,351,0.3945,0.2707,1,False,False,,False,False,940,True,False,systematic_survey,Boundary Commission,0.86,
TD-0051,small_group,,small_group,4939.574,102,large_collective,B-368,large_collective,25656.954,20215,0.1925,0.005,-1,True,False,,True,True,920,False,False,theoretical_test,T. Vells,0.87,
TD-0052,cell_colony,,cellular,0.146,0,small_group,,small_group,5561.528,19,0.0,0.0,-3,True,False,,True,True,936,False,False,theoretical_test,Archive Survey Team,0.83,
TD-0053,cell_colony,A-770,cellular,0.077,0,small_group,,small_group,5504.579,90,0.0,0.0,-3,True,False,,True,True,939,False,True,systematic_survey,M. Strand,0.63,
TD-0054,institution,,institution,24021.427,83976,large_collective,B-744,large_collective,3222.583,12157,7.4541,6.9076,1,True,False,,True,True,925,False,True,clinical_assessment,Boundary Commission,0.71,
TD-0055,cell_colony,A-626,cellular,0.036,0,institution,,institution,9814.157,54892,0.0,0.0,-5,True,False,,True,True,922,False,True,clinical_assessment,Independent Observer,0.51,
TD-0056,large_collective,A-983,large_collective,30189.125,16859,large_collective,B-164,large_collective,2703.145,607,11.1681,27.7743,0,True,False,,True,True,932,True,True,theoretical_test,M. Strand,0.79,
TD-0057,small_group,,small_group,6071.822,48,large_collective,,large_collective,1501.379,13980,4.0442,0.0034,-1,False,False,,False,False,940,False,True,anomaly_investigation,C. Vells,0.62,
TD-0058,large_collective,,large_collective,12347.36,11884,person,B-989,individual,1587.913,19,7.7758,625.4737,2,True,False,,True,True,926,False,False,theoretical_test,C. Vells,0.72,
TD-0059,institution,,institution,45853.547,70040,cell_colony,,cellular,0.031,0,1480795.8498,,5,True,False,,True,True,924,False,True,anomaly_investigation,T. Vells,0.85,
TD-0060,creature,A-987,organ,0.303,0,person,B-359,individual,2082.697,161,0.0001,0.0,-1,True,False,,True,True,920,False,False,anomaly_investigation,Klutch CC Counseling,0.52,
TD-0061,institution,A-724,institution,2609.208,41240,person,,individual,4055.296,47,0.6434,877.4468,3,False,False,,False,False,931,True,False,theoretical_test,K. Strand,0.93,
TD-0062,person,,individual,1685.703,43,cell_colony,,cellular,0.038,0,43989.9595,,2,True,False,,True,True,937,False,True,anomaly_investigation,Independent Observer,0.57,
TD-0063,cell_colony,,cellular,0.109,0,small_group,B-433,small_group,9331.514,38,0.0,0.0,-3,True,False,,True,True,927,False,False,hierarchy_validation,M. Strand,0.94,
TD-0064,cell_colony,A-608,cellular,0.178,0,cell_colony,B-382,cellular,0.028,0,6.2989,,0,True,False,,True,True,933,False,True,hierarchy_validation,P. Anster,0.85,
TD-0065,large_collective,,large_collective,2374.473,10707,person,B-853,individual,1399.05,187,1.6972,57.2567,2,True,False,,True,True,931,True,False,hierarchy_validation,Independent Observer,0.85,
TD-0066,small_group,A-360,small_group,1078.36,17,creature,B-291,individual,696.991,237,1.5472,0.0717,1,True,False,,True,True,918,False,True,clinical_assessment,Klutch CC Counseling,0.86,
TD-0067,cell_colony,A-351,cellular,0.016,0,cell_colony,,cellular,0.131,0,0.1253,,0,True,False,,True,True,924,True,False,systematic_survey,Boundary Commission,0.61,
TD-0068,person,A-428,individual,4511.708,72,institution,,institution,13350.521,128646,0.3379,0.0006,-3,True,False,,True,True,931,False,True,theoretical_test,Archive Survey Team,0.6,
TD-0069,person,,individual,3561.15,40,large_collective,,large_collective,3236.36,4820,1.1004,0.0083,-2,False,False,,False,False,933,False,True,theoretical_test,Klutch CC Counseling,0.78,
TD-0070,large_collective,,large_collective,14006.834,12034,large_collective,,large_collective,7709.928,2827,1.8167,4.2568,0,True,False,,True,True,918,False,True,anomaly_investigation,Klutch CC Counseling,0.74,
TD-0071,institution,A-435,institution,24526.774,30922,civilization_fragment,,civilization,15181.817,591576,1.6155,0.0523,-1,False,False,,False,False,920,False,True,systematic_survey,K. Strand,0.54,
TD-0072,large_collective,,large_collective,2914.732,1089,institution,,institution,6047.307,229757,0.482,0.0047,-1,True,False,,True,True,939,True,True,clinical_assessment,Independent Observer,0.94,
TD-0073,large_collective,,large_collective,8652.784,26551,civilization_fragment,B-548,civilization,53323.889,1466754,0.1623,0.0181,-2,True,False,,True,True,931,False,False,clinical_assessment,P. Anster,0.77,
TD-0074,large_collective,,large_collective,4966.134,9708,large_collective,B-527,large_collective,22066.335,4891,0.2251,1.9849,0,True,False,,True,True,926,False,False,hierarchy_validation,Klutch CC Counseling,0.81,
TD-0075,large_collective,A-102,large_collective,7508.03,6978,large_collective,B-766,large_collective,8815.977,11391,0.8516,0.6126,0,True,False,,True,True,927,True,False,anomaly_investigation,T. Vells,0.67,
TD-0076,institution,,institution,7132.684,19615,cell_colony,B-696,cellular,0.013,0,547770.3513,,5,True,False,,True,True,936,False,False,systematic_survey,M. Strand,0.55,
TD-0077,cell_colony,,cellular,0.112,0,civilization_fragment,,civilization,29098.973,356876,0.0,0.0,-6,True,False,,True,True,930,False,True,anomaly_investigation,K. Strand,0.79,
TD-0078,cell_colony,A-826,cellular,0.115,0,creature,B-557,organ,1.299,0,0.0882,,-1,True,False,,True,True,928,False,False,clinical_assessment,P. Anster,0.63,
TD-0079,creature,,individual,1699.224,124,civilization_fragment,,civilization,32279.557,2058546,0.0526,0.0001,-4,True,False,,True,True,935,False,False,clinical_assessment,M. Strand,0.71,
TD-0080,cell_colony,,cellular,0.118,0,person,,individual,889.668,146,0.0001,0.0,-2,True,False,,True,True,934,True,True,theoretical_test,R. Voss,0.78,
TD-0081,civilization_fragment,,civilization,10413.525,213938,large_collective,B-733,large_collective,3283.146,828,3.1718,258.3792,2,True,False,,True,True,923,True,False,clinical_assessment,C. Vells,0.86,
TD-0082,creature,,organ,0.505,0,institution,,institution,15233.985,35761,0.0,0.0,-4,True,False,,True,True,938,True,True,systematic_survey,Klutch CC Counseling,0.63,
TD-0083,large_collective,,large_collective,8420.382,12641,person,,individual,1886.814,68,4.4628,185.8971,2,True,False,,True,True,923,False,False,clinical_assessment,P. Anster,0.69,
TD-0084,institution,,institution,49672.048,46018,creature,B-752,organ,0.912,0,54469.1424,,4,True,False,,True,True,930,True,False,anomaly_investigation,Klutch CC Counseling,0.72,
TD-0085,institution,A-907,institution,51635.528,93356,cell_colony,,cellular,0.049,0,1063638.1108,,5,True,False,,True,True,923,False,True,theoretical_test,P. Anster,0.79,
TD-0086,cell_colony,,cellular,0.078,0,small_group,,small_group,2434.021,23,0.0,0.0,-3,True,False,,True,True,920,True,True,clinical_assessment,P. Anster,0.61,
TD-0087,person,,individual,3358.974,119,person,B-773,individual,1180.033,89,2.8465,1.3371,0,True,False,,True,True,920,True,False,clinical_assessment,T. Vells,0.55,
TD-0088,small_group,A-180,small_group,4435.631,42,large_collective,,large_collective,12064.788,13125,0.3677,0.0032,-1,True,False,,True,True,921,False,False,hierarchy_validation,Boundary Commission,0.71,
TD-0089,institution,,institution,19984.443,211756,civilization_fragment,,civilization,27034.247,222321,0.7392,0.9525,-1,True,False,,True,True,926,False,False,hierarchy_validation,R. Voss,0.73,
TD-0090,creature,,organ,0.429,0,institution,B-466,institution,31264.763,146511,0.0,0.0,-4,True,False,,True,True,925,False,True,systematic_survey,Independent Observer,0.85,
TD-0091,small_group,,small_group,3778.289,4,cell_colony,,cellular,0.15,0,25249.2784,,3,True,False,,True,True,929,True,True,anomaly_investigation,R. Voss,0.54,
TD-0092,civilization_fragment,,civilization,48656.549,9647,cell_colony,B-157,cellular,0.011,0,4498701.3848,,6,True,False,,True,True,929,True,True,anomaly_investigation,Klutch CC Counseling,0.69,
TD-0093,person,A-459,individual,2901.094,118,large_collective,,large_collective,30003.515,15113,0.0967,0.0078,-2,True,False,,True,True,932,False,True,systematic_survey,K. Strand,0.65,
TD-0094,creature,,individual,3802.37,26,cell_colony,,cellular,0.027,0,139398.3013,,2,True,False,,True,True,937,False,True,clinical_assessment,C. Vells,0.5,
TD-0095,institution,,institution,27275.511,76908,cell_colony,,cellular,0.076,0,359235.2504,,5,True,False,,True,True,935,False,True,clinical_assessment,P. Anster,0.68,
TD-0096,civilization_fragment,,civilization,4008.919,213027,civilization_fragment,,civilization,21418.162,2132363,0.1872,0.0999,0,True,False,,True,True,924,False,False,theoretical_test,M. Strand,0.87,
TD-0097,creature,A-450,individual,779.122,150,civilization_fragment,,civilization,10136.353,671483,0.0769,0.0002,-4,True,False,,True,True,931,True,False,clinical_assessment,P. Anster,0.69,
TD-0098,person,A-339,individual,950.602,26,large_collective,B-944,large_collective,4410.854,14088,0.2155,0.0018,-2,True,False,,True,True,919,False,False,clinical_assessment,C. Vells,0.69,
TD-0099,small_group,A-384,small_group,3236.1,60,institution,B-317,institution,53800.316,30163,0.0602,0.002,-2,True,False,,True,True,933,False,True,theoretical_test,Klutch CC Counseling,0.87,
TD-0100,person,,individual,66.017,237,small_group,B-723,small_group,10049.724,47,0.0066,5.0426,-1,True,False,,True,True,925,False,False,clinical_assessment,C. Vells,0.59,
TD-0101,large_collective,A-909,large_collective,8515.249,14102,cell_colony,,cellular,0.036,0,239468.2672,,4,True,False,,True,True,919,False,True,systematic_survey,T. Vells,0.79,
TD-0102,small_group,,small_group,3503.228,33,person,,individual,2207.795,43,1.5868,0.7674,1,True,False,,True,True,933,False,False,theoretical_test,P. Anster,0.8,
TD-0103,institution,,institution,20363.088,222564,civilization_fragment,,civilization,5642.096,75988,3.6091,2.9289,-1,False,False,,False,False,931,True,True,theoretical_test,T. Vells,0.71,
TD-0104,small_group,,small_group,5237.561,64,civilization_fragment,,civilization,18370.768,1418556,0.2851,0.0,-3,True,False,,True,True,927,False,False,hierarchy_validation,Independent Observer,0.89,
TD-0105,institution,A-158,institution,36942.134,135195,small_group,B-231,small_group,1212.809,56,30.46,2414.1964,2,True,False,,True,True,936,False,False,clinical_assessment,C. Vells,0.56,
TD-0106,institution,A-851,institution,12268.959,39410,small_group,,small_group,10746.704,37,1.1416,1065.1351,2,True,False,,True,True,918,False,False,theoretical_test,R. Voss,0.78,
TD-0107,institution,,institution,3750.083,38489,person,B-346,individual,3352.859,221,1.1185,174.1584,3,True,False,,True,True,920,False,False,clinical_assessment,R. Voss,0.93,
TD-0108,institution,,institution,15215.659,66679,large_collective,,large_collective,25993.197,9809,0.5854,6.7977,1,False,False,,False,False,938,True,True,hierarchy_validation,P. Anster,0.75,
TD-0109,civilization_fragment,,civilization,37415.8,2527158,person,,individual,249.394,29,150.0269,87143.3793,4,True,False,,True,True,939,False,True,anomaly_investigation,R. Voss,0.61,
TD-0110,civilization_fragment,,civilization,12524.616,779547,small_group,B-348,small_group,8931.805,21,1.4022,37121.2857,3,True,False,,True,True,928,True,True,clinical_assessment,C. Vells,0.63,
TD-0111,creature,A-992,individual,4692.863,150,cell_colony,,cellular,0.056,0,84378.1343,,2,True,False,,True,True,927,False,False,anomaly_investigation,T. Vells,0.78,
TD-0112,small_group,A-310,small_group,13238.306,11,cell_colony,,cellular,0.061,0,217051.7509,,3,True,False,,True,True,940,True,True,systematic_survey,Klutch CC Counseling,0.86,
TD-0113,institution,,institution,6278.969,60926,cell_colony,B-884,cellular,0.079,0,79914.4013,,5,True,False,,True,True,927,False,False,hierarchy_validation,Klutch CC Counseling,0.9,
TD-0114,person,,individual,1436.609,122,institution,B-863,institution,68352.248,200447,0.021,0.0006,-3,True,False,,True,True,928,False,True,theoretical_test,T. Vells,0.86,
TD-0115,person,,individual,4874.455,256,creature,,organ,0.931,0,5237.8437,,1,True,False,,True,True,938,False,False,systematic_survey,Boundary Commission,0.6,
TD-0116,person,,individual,3404.229,94,large_collective,,large_collective,9183.836,2277,0.3707,0.0413,-2,True,False,,True,True,926,True,True,clinical_assessment,M. Strand,0.78,
TD-0117,creature,,organ,1.183,0,creature,B-162,organ,0.513,0,2.3051,,0,True,False,,True,True,920,True,False,systematic_survey,K. Strand,0.79,
TD-0118,institution,A-273,institution,19593.487,164733,person,B-232,individual,2753.362,48,7.1162,3431.9375,3,True,False,,True,True,922,True,True,clinical_assessment,R. Voss,0.59,
TD-0119,small_group,,small_group,9228.596,19,civilization_fragment,,civilization,41084.818,2372683,0.2246,0.0,-3,True,False,,True,True,923,False,False,anomaly_investigation,C. Vells,0.68,
TD-0120,civilization_fragment,,civilization,23254.448,2462891,creature,B-852,individual,1401.352,39,16.5943,63151.0513,4,True,False,,True,True,936,True,True,anomaly_investigation,Boundary Commission,0.74,
TD-0121,creature,,individual,4403.993,34,large_collective,B-968,large_collective,20025.829,7794,0.2199,0.0044,-2,True,False,,True,True,935,True,False,hierarchy_validation,Independent Observer,0.76,
TD-0122,large_collective,A-587,large_collective,11945.328,1426,large_collective,,large_collective,8192.966,6931,1.458,0.2057,0,True,False,,True,True,921,False,True,anomaly_investigation,Boundary Commission,0.73,
TD-0123,civilization_fragment,A-907,civilization,20727.211,1210210,person,,individual,913.909,119,22.6797,10169.8319,4,True,False,,True,True,938,False,True,hierarchy_validation,Archive Survey Team,0.79,
TD-0124,institution,A-918,institution,13285.359,29727,small_group,,small_group,1357.699,15,9.7852,1981.8,2,True,False,,True,True,934,True,False,theoretical_test,K. Strand,0.53,
TD-0125,institution,A-691,institution,19209.674,162029,large_collective,,large_collective,14926.725,3458,1.2869,46.8563,1,True,False,,True,True,934,False,False,hierarchy_validation,Klutch CC Counseling,0.88,
TD-0126,large_collective,,large_collective,9976.784,9302,institution,,institution,7088.29,217379,1.4075,0.0428,-1,False,False,,False,False,926,True,False,systematic_survey,Independent Observer,0.68,
TD-0127,large_collective,,large_collective,23440.271,1262,institution,B-640,institution,2281.835,62052,10.2726,0.0203,-1,False,False,,False,False,937,False,True,clinical_assessment,Klutch CC Counseling,0.87,
TD-0128,small_group,A-174,small_group,5989.096,9,person,,individual,1011.724,7,5.9197,1.2857,1,True,False,,True,True,937,False,False,systematic_survey,C. Vells,0.76,
TD-0129,institution,,institution,8653.081,29184,large_collective,B-297,large_collective,10079.098,13466,0.8585,2.1672,1,False,False,,False,False,936,False,False,anomaly_investigation,Boundary Commission,0.95,
TD-0130,institution,,institution,19907.811,98543,civilization_fragment,,civilization,39865.808,58964,0.4994,1.6712,-1,True,False,,True,True,920,False,True,theoretical_test,P. Anster,0.51,
TD-0131,creature,,individual,5549.025,146,creature,,organ,0.413,0,13430.0872,,1,True,False,,True,True,928,False,False,clinical_assessment,P. Anster,0.88,
TD-0132,civilization_fragment,,civilization,25962.611,832675,creature,,organ,0.589,0,44108.7464,,5,True,False,,True,True,918,False,False,clinical_assessment,C. Vells,0.55,
TD-0133,small_group,,small_group,3594.105,115,civilization_fragment,,civilization,16305.061,1057045,0.2204,0.0001,-3,True,False,,True,True,938,False,False,clinical_assessment,C. Vells,0.91,
TD-0134,institution,,institution,16875.361,156266,large_collective,,large_collective,9620.745,6085,1.7541,25.6805,1,True,False,,True,True,924,False,False,theoretical_test,R. Voss,0.85,
TD-0135,civilization_fragment,,civilization,16957.47,733190,small_group,B-994,small_group,1617.99,124,10.4806,5912.8226,3,True,False,,True,True,937,True,False,clinical_assessment,Klutch CC Counseling,0.88,
TD-0136,small_group,,small_group,3632.672,8,civilization_fragment,,civilization,31303.747,215789,0.116,0.0,-3,True,False,,True,True,934,False,True,systematic_survey,Archive Survey Team,0.69,
TD-0137,creature,,individual,1982.868,154,person,B-350,individual,640.735,40,3.0947,3.85,0,True,False,,True,True,931,True,False,hierarchy_validation,Boundary Commission,0.89,
TD-0138,institution,,institution,7380.506,71337,large_collective,,large_collective,21644.754,13634,0.341,5.2323,1,False,False,,False,False,939,False,False,systematic_survey,M. Strand,0.58,
TD-0139,cell_colony,A-562,cellular,0.018,0,person,B-354,individual,4063.486,85,0.0,0.0,-2,True,False,,True,True,931,True,False,systematic_survey,Independent Observer,0.81,
TD-0140,large_collective,,large_collective,32335.628,3160,small_group,B-949,small_group,6061.78,87,5.3343,36.3218,1,True,False,,True,True,920,False,True,systematic_survey,M. Strand,0.92,
TD-0141,institution,,institution,2485.709,30488,civilization_fragment,B-690,civilization,32474.963,5975,0.0765,5.1026,-1,True,False,,True,True,938,False,False,systematic_survey,P. Anster,0.93,
TD-0142,civilization_fragment,A-687,civilization,11571.587,294959,creature,,organ,0.385,0,30065.7547,,5,True,False,,True,True,923,False,True,hierarchy_validation,Klutch CC Counseling,0.71,
TD-0143,cell_colony,A-386,cellular,0.029,0,civilization_fragment,B-187,civilization,58159.229,1531768,0.0,0.0,-6,True,False,,True,True,919,False,False,hierarchy_validation,M. Strand,0.87,
TD-0144,large_collective,A-860,large_collective,23065.675,18197,civilization_fragment,,civilization,11023.542,962314,2.0924,0.0189,-2,False,False,,False,False,934,False,False,systematic_survey,K. Strand,0.53,
TD-0145,civilization_fragment,A-859,civilization,7689.028,530836,cell_colony,,cellular,0.05,0,155169.7721,,6,True,False,,True,True,934,False,True,theoretical_test,R. Voss,0.75,
TD-0146,institution,,institution,40283.76,69520,person,,individual,1211.521,6,33.2506,11586.6667,3,True,False,,True,True,924,False,False,anomaly_investigation,T. Vells,0.67,
TD-0147,institution,,institution,60792.651,106956,institution,B-387,institution,10992.441,31537,5.5304,3.3914,0,True,False,,True,True,936,True,True,clinical_assessment,K. Strand,0.74,
TD-0148,civilization_fragment,,civilization,14784.753,1049645,small_group,,small_group,2731.12,18,5.4134,58313.6111,3,True,False,,True,True,928,True,False,anomaly_investigation,K. Strand,0.68,
