example_id,source_functor,target_functor,transformation_name,domain_object,source_value,target_value,component_morphism,year_proposed,proposer,context,is_natural,naturality_verified,notes
NT-001,subject_catalog_functor,author_index_functor,catalog_to_author,boundary_survey_847,"{boundaries,surveys}","{torvun_kell}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,First example of natural transformation between archive functors
NT-002,subject_catalog_functor,author_index_functor,catalog_to_author,expedition_log_855,"{expeditions,routes}","{survey_team_alpha}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,Expedition documents show consistent naturality
NT-003,author_index_functor,date_registry_functor,author_to_date,vornis_keth_papers,"{vornis_keth}","{847-01-03,847-12-15}",map_authors_to_dates,950,gellen_tross,temporal_indexing,true,true,Mapping author to publication dates
NT-004,subject_catalog_functor,date_registry_functor,catalog_to_date,sw_sector_anomalies,"{anomalies,SW-sector}","{847-01-19,849-03-12}",composition,950,gellen_tross,chained_transformation,true,true,Demonstrates composition of natural transformations
NT-005,embedding_functor_A,embedding_functor_B,model_shift,boundary_measurements,0.85,0.72,linear_transform,952,gellen_tross,numerical_embeddings,true,true,First numerical example connecting to Dray's work
NT-006,embedding_functor_A,embedding_functor_B,model_shift,expedition_reports,0.45,0.62,linear_transform,952,gellen_tross,numerical_embeddings,true,true,Expedition embeddings under transformation
NT-007,embedding_functor_A,embedding_functor_B,model_shift,scholarly_treatises,0.93,0.88,linear_transform,952,gellen_tross,numerical_embeddings,true,true,Scholarly works preserve high similarity under shift
NT-008,weighted_passage_functor,unweighted_functor,forget_weights,keth_basin_data,"{w:0.8,morphism:measure}","{morphism:measure}",weight_erasure,955,gellen_tross,enriched_to_ordinary,true,true,Forgetting weights is natural transformation
NT-009,unweighted_functor,weighted_passage_functor,unit_weights,simple_passage,"{morphism:traverse}","{w:1.0,morphism:traverse}",weight_inclusion,955,gellen_tross,ordinary_to_enriched,true,true,Adding unit weights is natural
NT-010,document_functor_D1,document_functor_D2,representation_shift,archive_catalog,"{records:45,classifications:7}","{entries:45,tags:12}",catalog_restructure,958,gellen_tross,archive_reorganization,true,true,Natural transformation under archive restructuring
NT-011,subject_catalog_functor,author_index_functor,catalog_to_author,creature_report_862,"{creatures,encounters}","{expedition_surveyor}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,Creature reports follow naturality
NT-012,embedding_functor_A,embedding_functor_C,radical_shift,boundary_survey_847,0.85,0.32,nonlinear_transform,960,lorren_dray,non_natural_example,false,false,Counterexample: nonlinear transforms fail naturality
NT-013,embedding_functor_A,embedding_functor_C,radical_shift,scholarly_treatises,0.93,0.15,nonlinear_transform,960,lorren_dray,non_natural_example,false,false,Dray demonstrates naturality failure
NT-014,representable_functor_A,representable_functor_B,perspective_shift,any_document,hom_from_A,hom_from_B,yoneda_morphism,962,gellen_tross,yoneda_lemma_connection,true,true,Natural transformations between representables
NT-015,document_functor_D1,document_functor_D1,identity_transformation,any_document,observations,observations,identity,945,gellen_tross,foundational,true,true,Identity is always natural
NT-016,composition_FG,composition_FH,horizontal_composite,test_document,FG_observations,FH_observations,composed_components,965,gellen_tross,advanced_structure,true,true,Horizontal composition preserves naturality
NT-017,embedding_functor_old,embedding_functor_new,migration,legacy_documents,"{vector_dim:50}","{vector_dim:100}",embedding_expansion,970,gellen_tross,practical_application,true,true,Model migration as natural transformation
NT-018,embedding_functor_new,embedding_functor_old,compression,modern_documents,"{vector_dim:100}","{vector_dim:50}",dimensionality_reduction,970,gellen_tross,practical_application,true,true,Lossy but still natural
NT-019,functor_F,functor_G,eta,object_X,F_X,G_X,eta_X,948,gellen_tross,abstract_definition,true,true,General naturality condition formalization
NT-020,passage_diagram_functor,weighted_passage_functor,enrichment,vance_example,"{passage:A->B}","{w:0.7,passage:A->B}",add_weight,958,gellen_tross,vance_connection,true,true,Connection to Merrit Vance's weighted passages
NT-021,boundary_measurement_F,boundary_measurement_G,recalibration,sector_SW8,45.2,47.8,measurement_update,952,gellen_tross,survey_application,true,true,Survey recalibration as natural transformation
NT-022,classification_old,classification_new,archive_reform,all_documents,"{system:vornis}","{system:capital}",reclassification,965,gellen_tross,institutional,true,true,Archive reform preserves naturality
NT-023,embedding_functor_A,embedding_functor_B,model_shift,keth_memorandum,0.78,0.81,linear_transform,952,gellen_tross,numerical_embeddings,true,true,Keth's memorandum embedding
NT-024,embedding_functor_A,embedding_functor_B,model_shift,tross_constellation,0.55,0.58,linear_transform,955,gellen_tross,family_connection,true,true,Uncle Pemlik's constellation data
NT-025,document_functor_D1,document_functor_D2,representation_shift,form_library_entry,"{forms:platonic}","{forms:densworld}",ontology_shift,960,gellen_tross,philosophical,true,true,Pol's Form Library under transformation
NT-026,weighted_passage_functor,weighted_passage_functor,weight_rescaling,vance_passages,"{w:0.5}","{w:1.0}",normalize,962,gellen_tross,normalization,true,true,Weight normalization is natural
NT-027,subject_catalog_functor,author_index_functor,catalog_to_author,pol_treatise_858,"{forms,ontology}","{erris_pol}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,Pol's works demonstrate naturality
NT-028,embedding_functor_sparse,embedding_functor_dense,densification,archive_document,"{sparse_vector}","{dense_vector}",fill_zeros,968,gellen_tross,computational,true,true,Sparse to dense embedding
NT-029,embedding_functor_A,embedding_functor_A,rotation,any_document,vector_v,rotated_v,orthogonal_matrix,970,gellen_tross,isomorphism,true,true,Rotation is natural isomorphism
NT-030,functor_F,functor_G,failed_transform,test_case,F_obs,G_obs,arbitrary_map,945,gellen_tross,counterexample,false,false,Arbitrary maps fail naturality test
NT-031,embedding_functor_A,embedding_functor_B,model_shift,vold_passages,0.91,0.89,linear_transform,952,gellen_tross,numerical_embeddings,true,true,Vold's passage diagrams under transformation
NT-032,document_functor_D1,document_functor_D2,representation_shift,dead_river_report,"{expeditions,routes}","{warnings,losses}",perspective_change,958,gellen_tross,tragic_documents,true,true,Dead River materials show consistent naturality
