material_id,material_name,material_type,source_location,source_creature,extraction_method,color_hex,color_description,permanence,texture,traditional_use,associated_guild,rarity,compiler,notes
VIS-001,Densmuck Black,pigment,The Dens,,Collected from Dens boundary surface,#1A1A1A,Absolute deep black with slight oily sheen,permanent,smooth oily,Cartographic boundary marking; Archive critical notation,Cartographer's Guild,uncommon,Kelleth Trove,Pitchy black absorbs all light. Best for indicating voids or boundaries.
VIS-002,Densgrit Gray,pigment,The Dens,,Mined from Dens substrate,#6B7280,Medium gray with visible mineral particles,permanent,gritty sandy,Background washes; terrain texture indication,Cartographer's Guild,common,Kelleth Trove,Grainy texture visible in application. Used for unstable terrain.
VIS-003,Densash Pale,pigment,The Dens (covers Yeller),,Collected from Dens surface deposits,#D1D5DB,Pale ashy gray almost white,semi-permanent,matte powdery,Matte coatings; ghost rendering; faded effects,Archive,uncommon,Kelleth Trove,Covers Yeller. Associated with concealment and mystery.
VIS-004,Densbone White,pigment,The Dens,Various Dens creatures,Ground from collected Densbone,#FAFAF9,Off-white with warm undertone,permanent,fine chalky,Highlights; structural elements; Archive formal documents,Archive,rare,Kelleth Trove,Densbone skulls particularly valued. Ground fine for pigment.
VIS-005,Quarry Ochre,pigment,Yeller Quarry,,Mining from iron deposits,#B45309,Deep rust orange with earthy warmth,permanent,slightly gritty,Earth tones; warm highlights; creature rendering,Quarry Crews,common,Hesta Vorn,Iron-rich deposits produce this signature Quarry color.
VIS-006,Quarry Rust,pigment,Yeller Quarry,,Collected from exposed iron surfaces,#7C2D12,Dark rust brown with red undertones,permanent,metallic gritty,Metallic surfaces; aging effects; Wharver illustration,Quarry Crews,common,Hesta Vorn,Natural oxidation from Quarry iron. Used for metal textures.
VIS-007,Wharver Scale Rust,pigment,Yeller Quarry,Wharver,Processed from shed scales,#92400E,Bright rust with orange highlights,permanent,fine metallic,Creature illustration; metallic highlights; warm accents,Quarry Crews,uncommon,Hesta Vorn,Collected from creature encounters. Distinctive metallic quality.
VIS-008,Knocker-bug Gold,pigment,Yeller Quarry,Knocker-bugs,Processed from deceased specimens,#CA8A04,Rich gold with slight warm cast,semi-permanent,fine iridescent,Gilding; accent marks; ceremonial documents,Traders Guild,rare,Hesta Vorn,Aureate creatures yield distinctive gold. Not as stable as mineral gold.
VIS-009,Knocker-bug Spot Red,pigment,Yeller Quarry,Knocker-bugs,Extracted from red spot pattern,#B91C1C,Bright crimson red,semi-permanent,smooth,Warning marks; emphasis; creature spots,Traders Guild,rare,Hesta Vorn,Limited yield from red spots only. Used sparingly.
VIS-010,Iron Gall Black,ink,Capital,,Oak galls and iron sulfate processing,#1F2937,Blue-black darkening over time,permanent,smooth fluid,Standard Archive writing; formal documents; manuscript copying,Archive,common,Archive Records,Standard Archive ink. Darkens from gray-black to true black over time.
VIS-011,Archive Sepia,ink,Capital,,Processed from traditional sources,#78350F,Warm brown with red undertones,permanent,smooth,Historical documents; marginalia; informal notes,Archive,common,Archive Records,Secondary Archive ink for informal use.
VIS-012,Wing Dust Iridescent,pigment,Various regions,CR024 creature,Collected wing dust,#A78BFA,Pale violet with rainbow iridescence,fugitive,fine powder,Cosmetic trade; decorative manuscripts; special effects,Capital Cosmetics,precious,Trade Records,Sold for Capital Cosmetics trade. Fades in strong light.
VIS-013,Seven-Foot Bird Black,dye,Yeller Quarry,Seven-foot bird,Leather processing residue,#0F172A,Absolute black with leather depth,permanent,smooth,Leather dyeing; deep black requirements,Quarry Crews,rare,Polks crew records,From bird leather processing. Polks' overalls made from this.
VIS-014,Wood Turtle Brown,pigment,Yeller Quarry,Wood turtle,Shell fragments ground,#78716C,Warm brown with wood grain undertone,permanent,fibrous,Wood textures; organic surfaces; creature illustration,Quarry Crews,uncommon,Hesta Vorn,Ligneous shell produces distinctive grain-like pigment.
VIS-015,Stonefrog Gray,pigment,Dens edge pools,Stonefrog,Processed from specimens,#52525B,Cool gray with slight blue cast,permanent,stone-like,Camouflage rendering; stone surfaces; Dens creatures,Archive Taxonomic,uncommon,Hesta Vorn,Stone-like camouflage quality carries into pigment.
VIS-016,Gritsmuck Brown,pigment,Dens surface,Gritsmucks,Processed from swarm specimens,#57534E,Muddy brown with organic depth,permanent,organic gritty,Detritus rendering; muck surfaces; Dens terrain,Archive Taxonomic,common,Hesta Vorn,Abundant at Dens periphery. Earthy organic quality.
VIS-017,Rock-fin Gray,pigment,Dens aquatic,Rock-finned eel,Processed fin material,#64748B,Cool gray with mineral flecks,permanent,mineral flecked,Aquatic creatures; mineral-organic hybrid textures,Archive Taxonomic,rare,Hesta Vorn,Single specimen source. Unique mineral-organic quality.
VIS-018,Granite Wren Basalt,pigment,Dens tunnels,Granite wren,Feather processing,#374151,Dark basalt gray,permanent,fine smooth,Stone textures; subtle gradients; tunneled environments,Archive Taxonomic,rare,Hesta Vorn,From rare captures at tunnel mouths. Subtle quality.
VIS-019,Tower Steel Gray,pigment,Tower of Mirado vicinity,,Collected metal particles,#9CA3AF,Polished steel gray with metallic sheen,permanent,fine metallic,Tower illustration; metal surfaces; technological elements,Cartographer's Guild,precious,Siege Records,Steel-shining stuff of the Tower. Hovering structure material.
VIS-020,Fountain Blue,pigment,Tower of Mirado,,Processed from fountain residue,#60A5FA,Cool luminescent blue,semi-permanent,smooth luminous,Light effects; water rendering; Tower crown,Cartographer's Guild,precious,Siege Records,Fountain water at Tower crown. Light-emitting at night.
VIS-021,Desert Maize Yellow,pigment,Mirado siege camp,,Ground from dried corn,#FCD34D,Pale yellow with texture,permanent,granular,Desert scenes; siege camp rendering; food illustration,Various,common,Siege Records,Hard maize-dotted cob from siege camps.
VIS-022,Clod-mud Earth,pigment,Mirado siege camp,,Processed from camp construction mud,#A16207,Earth brown with orange cast,permanent,coarse,Camp structures; dried earth; defensive works,Various,common,Siege Records,Dried clod-mud from siege construction.
VIS-023,Archive Paper White,paper,Capital,,Paper mill processing,#FFFFFF,Pure archival white,permanent,smooth fine,Formal manuscripts; Archive records; publication,Archive,common,Archive Records,Best quality paper for archival work.
VIS-024,Archive Parchment Cream,paper,Capital,,Traditional animal skin processing,#FEF3C7,Warm cream with age character,permanent,smooth supple,Important works; binding; ceremonial documents,Archive,uncommon,Archive Records,Vellum quality for significant manuscripts.
VIS-025,Quarry Paper Rough,paper,Yeller Quarry,,Quarry fiber processing,#E5E7EB,Off-white with visible fibers,permanent,rough textured,Field notebooks; expedition logs; practical documentation,Quarry Crews,common,Quarry Records,Rougher texture. Durable for field use.
VIS-026,Quarry-skin Vellum,paper,Yeller Quarry,Various quarry creatures,Processed creature hides,#D6D3D1,Metallic cream with leather quality,permanent,leather smooth,Maps; important expedition records; trade documents,Cartographer's Guild,rare,Traders Guild,Metal as skin - skin of a rocky sort. Brings out grit of travel.
VIS-027,Survey-grade Stock,paper,Capital,,High-quality paper processing,#F9FAFB,Clean white with slight tooth,permanent,medium tooth,Survey maps; technical drawings; Guild submissions,Cartographer's Guild,uncommon,Cartographer's Guild,Standard for Guild mapping work.
VIS-028,Commercial Print Paper,paper,Various,,Industrial production,#FFFFFF,Bright white,permanent,smooth,Trade catalogs; advertising; printed materials,Traders Guild,common,Trade Records,Commercial grade for mass printing.
VIS-029,Creature Hide Leather,binding,Various,Various,Tanning and processing,#A8A29E,Natural tan to brown,permanent,leather grain,Field notebooks; expedition bindings; durable covers,Quarry Crews,common,Field Records,Standard expedition binding material.
VIS-030,Archive Binding Cloth,binding,Capital,,Textile processing,#1E3A8A,Deep archive blue,permanent,woven,Formal manuscript binding; Archive holdings,Archive,common,Archive Records,Standard Archive binding for cataloged works.
VIS-031,Specimen Bag Leather,binding,Capital,,Treated leather processing,#6B7280,Treated gray-brown,permanent,treated leather,Specimen collection; field equipment covers,Archive Taxonomic,common,Hesta Vorn,Guild-approved treatment for preservation.
VIS-032,Gold Leaf,surface,Capital (imported),,Traditional gold beating,#F59E0B,Brilliant gold,permanent,metallic smooth,Ceremonial documents; illumination; Archive treasures,Archive,precious,Archive Records,Reserved for most significant manuscripts.
VIS-033,Compass Rose Stamp Ink,ink,Capital,,Specialized Guild production,#1E40AF,Deep navigation blue,permanent,smooth,Compass rose elements; directional markers,Cartographer's Guild,uncommon,Cartographer's Guild,Three-Compassed orientation (no East).
VIS-034,Elevation Wash Orange,ink,Capital,,Diluted pigment processing,#FDBA74,Transparent warm orange,semi-permanent,wash thin,Elevation indication; heat maps; high-value areas,Cartographer's Guild,common,Cartographer's Guild,Cartographic Guild standard for elevation.
VIS-035,Elevation Wash Yellow,ink,Capital,,Diluted pigment processing,#FDE68A,Transparent warm yellow,semi-permanent,wash thin,Medium elevation; transition zones,Cartographer's Guild,common,Cartographer's Guild,Mid-range elevation standard.
VIS-036,Elevation Wash Blue,ink,Capital,,Diluted pigment processing,#93C5FD,Transparent cool blue,semi-permanent,wash thin,Low elevation; water; cool zones,Cartographer's Guild,common,Cartographer's Guild,Low-range and aquatic indication.
VIS-037,Contour Line Black,ink,Capital,,Concentrated iron gall,#111827,Dense precise black,permanent,smooth precise,Contour lines; precise boundaries; Guild maps,Cartographer's Guild,common,Cartographer's Guild,Thinner than standard for fine contour work.
VIS-038,Observer Notation Red,ink,Capital,,Specialized production,#DC2626,Clear warning red,permanent,smooth,Observer emotional state; hazard notation; Form 17-B,Cartographer's Guild,uncommon,Cartographer's Guild,Required for observer state recording per Dens Principles.
VIS-039,Hogfoot Hide Tan,binding,Dens edge,Hogfoot,Domesticated creature processing,#D4B896,Light tan with subtle grain,permanent,soft leather,Edge settlement bindings; domestic documents,Dens Edge Settlements,common,Settlement Records,Domesticated by edge settlements. Readily available.
VIS-040,Densfowl Egg Tempera,binder,The Dens,Densfowl,Egg yolk extraction,#FEF9C3,Clear with yellow tint,permanent,smooth,Pigment binding; illumination work; fine detail,Archive,uncommon,Archive Records,Common Dens fowl provides steady supply.
VIS-041,Barkbound Chitin,pigment,Dens surface,Barkbound creatures,Processed chitin fragments,#44403C,Dark bark brown with sheen,permanent,chitinous sheen,Insect rendering; bark textures; Dens surface creatures,Archive Taxonomic,common,Hesta Vorn,Surface-dwelling. Easy to capture for processing.
VIS-042,Shifty Residue Gray,pigment,Dens interior,Shifties,Trace residue collection,#A1A1AA,Uncertain gray shifting quality,fugitive,unstable,Movement rendering; uncertain boundaries; shifting forms,Archive Taxonomic,rare,Hesta Vorn,Movement pattern defies prediction. Residue similarly unstable.
VIS-043,Toadpipe Bile Green,ink,Dens edge,Toadpipes,Extracted from specimens,#65A30D,Bright organic green,semi-permanent,smooth,Organic highlights; vegetation; living elements,Archive Taxonomic,uncommon,Hesta Vorn,Specimens readily captured. Distinctive color.
VIS-044,Gutzler Fat Medium,binder,Capital outskirts,Gutzler,Rendered fat processing,#FEFCE8,Clear with slight warmth,permanent,smooth greasy,Oil medium for pigments; glazing,Archive Taxonomic,common,Hesta Vorn,Urban periphery creature. Well-documented supply.
VIS-045,Greybeakeel Silver,pigment,Dens edge pools,Greybeakeel,Scale processing,#CBD5E1,Cool silver gray,permanent,fine metallic,Aquatic rendering; silver highlights; pool creatures,Dens Edge Crews,uncommon,Crew Records,Kept in pools by local crews. Controlled supply.
VIS-046,Maw Beast Blood Red,pigment,SW Sector,Maw beast,Dangerous collection,#7F1D1D,Dark blood crimson,permanent,organic,Danger indication; blood rendering; extreme hazard marking,Cartographer's Guild,rare,Survey Records,Dangerous proximity required. High hazard collection.
VIS-047,Cave Bat Guano Brown,pigment,Eastern tunnels,Cave bat,Guano collection,#451A03,Rich organic brown,permanent,fine organic,Cave rendering; organic depth; Eastern Sector scenes,Survey Teams,common,Vorn Survey Records,Large colony documented. Abundant material.
VIS-048,Tunnel Worm Mucus Binder,binder,Eastern Sector,Tunnel worm,Mucus collection,#D4D4D8,Clear with slight gray,semi-permanent,smooth,Specialty binding agent; unusual viscosity,Archive Taxonomic,uncommon,Vorn Survey Records,Indirect observation - limited collection opportunities.
VIS-049,Migratory Bird Feather Dye,dye,Northern Sector,Migratory birds,Feather processing,#A3E635,Bright spring green,semi-permanent,smooth,Seasonal markers; migration illustration; spring themes,Various,common,Trell Survey Records,Seasonal migration provides annual supply.
VIS-050,Crash Liquor Orange,dye,Commercial,Orange lizard (image only),Commercial production,#EA580C,Bright commercial orange,permanent,smooth bright,Commercial illustration; advertising; popular media,Commercial,common,Trade Records,Brand using orange lizard for ads. Synthetic production.
VIS-051,Dead River Silt Gray,pigment,Dead River,,River sediment collection,#78716C,Cool silt gray with organic depth,permanent,fine silty,River rendering; Dead River journeys; passage illustration,Cartographer's Guild,common,Journey Records,Dead River passage material. Associated with transformation.
VIS-052,Grimslew Scale Black,pigment,Grimslenken waters,Grimslew,No specimens possible,#030712,Deepest black with hints of blue,permanent,smooth deep,Grimslew rendering (theoretical); ultimate darkness,Archive,precious,Hesta Vorn,Dreaded fish. No specimen possible - too dangerous. Color extrapolated.
VIS-053,Yeller Protocol Cipher Ink,ink,Capital,,Specialized Guild production,#4338CA,Deep indigo with violet cast,permanent,smooth,Yeller documentation; plural being notation; cipher work,Cartographer's Guild,rare,Guild Records,For Yeller Protocols per Appendix C. Special formulation.
VIS-054,Stakdur Warning Orange,pigment,Quarry zone,Stakdur,No specimen collection,#F97316,High-visibility warning orange,permanent,bright,Extreme danger marking; stakdur territory indication,Cartographer's Guild,rare,Field Report Synthesis,Too dangerous for specimen collection. Color from observation.
VIS-055,Form 17-B Hazard Yellow,ink,Capital,,Guild standardized,#FACC15,Standard hazard yellow,permanent,smooth,Form 17-B hazard reporting; warning markers,Cartographer's Guild,common,Guild Standards,Official hazard reporting color.
VIS-056,MS-Prefix Archive Blue,ink,Capital,,Archive standardized,#1D4ED8,Deep catalog blue,permanent,smooth precise,Manuscript numbering; Archive catalog notation,Archive,common,Archive Standards,Standard for MS-XXXX identifiers.
VIS-057,Ellich Dormancy Green,pigment,Capeast hills,Ellichs,Report-based formulation,#166534,Deep forest green,permanent,smooth,Capeast illustration; hibernating carriers; block transport,Archive Taxonomic,rare,Field Assistant Queever,Report from Capeast expedition. No direct observation.
VIS-058,Build-stone Wash,surface,W2 reference,,Conceptual formulation,#A5B4FC,Pale lavender blue,conceptual,conceptual,Imaginary access illustration; W2 bridge concepts,Conceptual,conceptual,Theoretical,Physical-imaginative bridge rendering. Conceptual material.
